file_size,time(s)
1024,0.4903450012207031
5116,0.5194916725158691
9208,0.5188047885894775
13300,0.5557687282562256
17392,0.5545387268066406
21484,0.5464982986450195
25576,0.5689349174499512
29668,0.578639030456543
33760,0.5754849910736084
37852,0.575340986251831
41944,0.5864794254302979
46036,0.6732439994812012
50128,0.6518328189849854
54220,0.6450703144073486
58312,0.6879978179931641
62404,0.6678550243377686
66496,0.62839674949646
70588,0.637587308883667
74680,0.6947712898254395
78772,0.6737959384918213
82864,0.681018590927124
86956,0.7132787704467773
91048,0.6846401691436768
95140,0.7234902381896973
99232,0.732335090637207
103324,0.78019118309021
107416,0.7699897289276123
111508,0.7709693908691406
115600,0.7738912105560303
119692,0.7514355182647705
123784,0.7542445659637451
127876,0.9033489227294922
131968,0.7877147197723389
136060,0.906090259552002
140152,0.8084182739257812
144244,0.8317093849182129
148336,0.7971675395965576
152428,0.8268415927886963
156520,0.8790512084960938
160612,0.8682012557983398
164704,0.9172420501708984
168796,0.8212039470672607
172888,0.965487003326416
176980,0.9726312160491943
181072,0.9149627685546875
185164,0.9107403755187988
189256,0.8780221939086914
193348,0.9815735816955566
197440,0.9067797660827637
201532,0.889376163482666
205624,0.9335591793060303
209716,0.925551176071167
213808,0.988898754119873
217900,0.999302864074707
221992,1.0094234943389893
226084,1.0209648609161377
230176,0.9550771713256836
234268,1.0190703868865967
238360,1.0258443355560303
242452,1.017197608947754
246544,1.0590112209320068
250636,1.0509400367736816
254728,1.0536541938781738
258820,1.0781478881835938
262912,1.0827033519744873
267004,1.1170048713684082
271096,1.0988340377807617
275188,1.0842294692993164
279280,1.1351079940795898
283372,1.0820155143737793
287464,1.1826934814453125
291556,1.3678646087646484
295648,1.1439645290374756
299740,1.1452488899230957
303832,1.1282296180725098
307924,1.1890861988067627
312016,1.249171495437622
316108,1.1991627216339111
320200,1.283632755279541
324292,1.201772928237915
328384,1.1804933547973633
332476,1.2229516506195068
336568,1.277087926864624
340660,1.2507975101470947
344752,1.2539324760437012
348844,1.2177062034606934
352936,1.2539241313934326
357028,1.263239860534668
361120,1.2969555854797363
365212,1.2550039291381836
369304,1.419839859008789
373396,1.3730926513671875
377488,1.4113163948059082
381580,1.3878695964813232
385672,1.3441250324249268
389764,1.4060842990875244
393856,1.3436737060546875
397948,1.4632225036621094
402040,1.3181705474853516
406132,1.3450639247894287
410224,1.4012587070465088
414316,1.4511377811431885
418408,1.4181220531463623
422500,1.361729621887207
426592,1.5403931140899658
430684,1.5744779109954834
434776,1.4829037189483643
438868,1.4870803356170654
442960,1.4236040115356445
447052,1.5294694900512695
451144,1.48140549659729
455236,1.445725440979004
459328,1.5004222393035889
463420,1.5731401443481445
467512,1.6144218444824219
471604,1.5197842121124268
475696,1.4731366634368896
479788,1.5900352001190186
483880,1.557530164718628
487972,1.4872698783874512
492064,1.5220787525177002
496156,1.5634820461273193
500248,1.5091910362243652
504340,1.6468396186828613
508432,1.5404531955718994
512524,1.5169639587402344
516616,1.6503190994262695
520708,1.632211446762085
524800,1.5782432556152344
528892,1.6819853782653809
532984,1.6171801090240479
537076,1.584313154220581
541168,1.6994779109954834
545260,1.6694340705871582
549352,1.593904972076416
553444,1.7889337539672852
557536,1.7001090049743652
561628,1.6414167881011963
565720,1.7883343696594238
569812,1.8741044998168945
573904,1.7278213500976562
577996,1.799452781677246
582088,1.7259490489959717
586180,1.7970788478851318
590272,1.7711615562438965
594364,1.7396433353424072
598456,1.8143219947814941
602548,1.804915428161621
606640,1.772888422012329
610732,1.8448383808135986
614824,1.8504443168640137
618916,1.8465924263000488
623008,1.9493145942687988
627100,1.8070228099822998
631192,1.914259433746338
635284,1.922900915145874
639376,1.9006505012512207
643468,1.9112188816070557
647560,1.9411365985870361
651652,1.9446361064910889
655744,1.8854477405548096
659836,1.883363962173462
663928,1.950843334197998
668020,1.9069709777832031
672112,2.001293182373047
676204,1.8954553604125977
680296,1.9873480796813965
684388,2.006312131881714
688480,1.9371399879455566
692572,2.0642244815826416
696664,2.033906936645508
700756,1.9896528720855713
704848,2.048281669616699
708940,1.9510948657989502
713032,2.1007156372070312
717124,2.059361696243286
721216,2.040635347366333
725308,2.130941152572632
729400,2.09834623336792
733492,2.027693271636963
737584,2.084083080291748
741676,2.1005682945251465
745768,2.032252550125122
749860,2.1230154037475586
753952,2.0985336303710938
758044,2.141009569168091
762136,2.1643028259277344
766228,2.1494569778442383
770320,2.138867139816284
774412,2.1149795055389404
778504,2.427769184112549
782596,2.203265428543091
786688,2.129485845565796
790780,2.317117691040039
794872,2.1742658615112305
798964,2.3703105449676514
803056,2.209742307662964
807148,2.230104923248291
811240,2.22481107711792
815332,2.306691884994507
819424,2.2165067195892334
823516,2.364020824432373
827608,2.3118255138397217
831700,2.2558023929595947
835792,2.3228161334991455
839884,2.3343505859375
843976,2.2891950607299805
848068,2.3013157844543457
852160,2.266496419906616
856252,2.3863770961761475
860344,2.3642678260803223
864436,2.385707378387451
868528,2.386357545852661
872620,2.536421298980713
876712,2.318563461303711
880804,2.3672378063201904
884896,2.4524619579315186
888988,2.49582839012146
893080,2.3712239265441895
897172,2.3251986503601074
901264,2.492565870285034
905356,2.4220094680786133
909448,2.5096561908721924
913540,2.398439645767212
917632,2.5446410179138184
921724,2.4752376079559326
925816,2.644115924835205
929908,2.531546115875244
934000,2.528876543045044
938092,2.488424301147461
942184,2.620242118835449
946276,2.475409746170044
950368,2.6280460357666016
954460,2.6635961532592773
958552,2.6178507804870605
962644,2.661982774734497
966736,2.6114730834960938
970828,2.548456907272339
974920,2.5391898155212402
979012,2.674689769744873
983104,2.6282894611358643
987196,2.5416195392608643
991288,2.586674928665161
995380,2.8020293712615967
999472,2.693406581878662
1003564,2.581766128540039
1007656,2.7274086475372314
1011748,2.9720354080200195
1015840,2.9361460208892822
1019932,2.4565627574920654
1024024,2.695924758911133
1028116,2.6615819931030273
1032208,2.841958522796631
1036300,2.72453236579895
1040392,2.687439441680908
1044484,2.695394277572632
1048576,1.7506439685821533
